,title,link,content,pubDate,image_url,source_id,category
0,Heinrich-Mann-Preis für György Dalos: Gegner der Systeme,https://taz.de/Heinrich-Mann-Preis-fuer-Gyoergy-Dalos/!5925042/,"Im Schreiben György Dalos’ spiegelt sich der Wandel Ungarns vom Kom­munismus zur illiberalen Demokratie. Nun bekam er den Heinrich-Mann-Preis. Der Schriftsteller György Dalos 2017 „Für, gegen und ohne Kommunismus“: Der Titel, unter dem der 2019 seine Erinnerungen veröffentlichte, verweist auf ein ideologisch bewegtes Leben. Dem realen Wandel immer ein Stück voraus, spiegelt sich in Dalos auch die jüngere Geschichte seines Heimatlandes, über das er immer wieder in Romanen und Essays geschrieben hat. Nun wurde Dalos mit dem ausgezeichnet, der ihm am Dienstagabend in der Akademie der Künste (AdK) überreicht wurde; in Berlin, wo der 79-Jährige seit vielen Jahren lebt. Dalos, 1943 in Budapest geboren, wuchs in Armut auf, Hunger als ständiger Begleiter. Satt gemacht habe ihn schließlich der Kommunismus, sagte er einmal gegenüber dem Deutschlandfunk, als er in einem staatlichen Lungensanatorium erstmals genug zu essen erhielt. Dalos studierte Geschichte in Moskau, kehrte anschließend nach Ungarn zurück, wo er 1968 wegen maoistischer Umtriebe verhaftet wurde. Mit Berufsverbot belegt, gehörte der jüdische Schriftsteller zu den Gründern der ungarischen Oppositionsbewegung. Kein Kokettieren Im Gegensatz zu vielen westdeutschen Intellektuellen habe Dalos niemals mit seinen „maoistischen Verwirrungen“ kokettiert, sagt der Schriftsteller Marko Martin, der in der AdK die Laudatio auf Dalos hält. Auch von seiner Gefängniszeit und dem Hungerstreik erzähle er präzise, ohne Übertreibungen, immer mit „dem rettenden Seitenhieb auf das absurde Detail“. Den Heinrich-Mann-Preis erhält Dalos für sein essayistisches Werk, doch ohne die Literatur, so Martin, sei Ersteres nicht zu erklären: „Wie von Dalos sprechen ohne Tamás Cohen?“ Cohen, der charmante Romanprotagonist aus „Die Seilschaften“ und „Der Versteckspieler“, wächst wie Dalos praktisch ohne Eltern auf. Politisch unterwiesen von seinem parteitreuen Onkel Dani, gerät er mit diesem erstmals aneinander, als er sich für einen Schulfreund einsetzt. Dessen Vater war nämlich Offizier unter dem autoritären Admiral Miklós Horthy, der unter anderem den Erlass antijüdischer Gesetze in Ungarn und so letztlich die Vertreibung der Jü­d:in­nen aus dem Land zu verantworten hatte. Wie Dalos gehört Cohen später der Opposition an und emigriert schließlich nach Westberlin. Kaputte Gesellschaft Tamás Cohen, so sagt Martin, sei „von einer kaputten Gesellschaft umgeben“. Dalos benutzt heute ähnliche Worte. In seiner kurzen Dankesrede spricht er von einer „aus den Fugen geratenen Welt“, in der er lebe, und meint damit den „als Militäroperation verniedlichten Vernichtungskrieg“ Russlands gegen die Ukraine. In Ungarn hält man an der Beziehung zum Regierungschef des Nachfolgestaats der Sowjet­union weiter fest. Gergely Gulyás, Regierungssprecher von Ministerpräsident Viktor Orbán, sagte kürzlich, Ungarn würde den Haftbefehl des Internationalen Strafgerichtshofs gegen Wladimir Putin ignorieren, beträte dieser ungarisches Staatsgebiet. Auch verzichtete die Europäische Union darauf, den Patriarchen Kirill, Oberhaupt der russisch-orthodoxen Kirche, auf die Sanktionsliste zu setzen, da Ungarn protestierte. Über das „System Orbán“ hat Dalos, der die ungarische Regierung offen als illiberal bezeichnet, im vergangenen Jahr ein Buch geschrieben. Andere Texte des Schriftstellers und Historikers den Russlanddeutschen oder der Zarenfamilie Romanow. So ist es schade, dass aus Dalos’ Texten an diesem Abend nicht gelesen wird, sondern mit einem von vorgetragenen Auszug aus Heinrich Manns „Professor Unrat“ literarisch nur an den Namensgeber des Preises erinnert wird. Dessen erzwungenen Austritt aus der Akademie der Künste 1933 ruft die Schriftstellerin und Vizepräsidentin der AdK, Kathrin Röggla, in einer Begrüßungsrede ins Gedächtnis. Professor Unrat György Dalos hat zu Manns „Professor Unrat“ eine spezielle Beziehung. Gerade begonnen, wurde ihm der Roman gleich wieder entwendet, als ihn sein Geografielehrer beim Lesen im Unterricht erwischte, erzählt er. Jahre später geriet er wieder mit dem Stoff in Kontakt, als er – aufgrund seines Publikationsverbots eine „willkommene Abwechslung“ – an einer Biografie über Marlene Dietrich arbeitete, die die Hauptrolle in der UFA-Romanverfilmung „Der blaue Engel“ spielte. Veröffentlicht wurde das Buch allerdings nie. Der Verlag, sagt Dalos, sei kurz davor pleitegegangen.",2023-03-30 07:32:00,https://taz.de/picture/6179872/948/32499005-1.jpeg,taz,"['entertainment', 'environment']"
1,Gesundheit: Jennifer Aniston achtet auf Adam Sandlers Ernährung,https://www.insuedthueringen.de/inhalt.gesundheit-jennifer-aniston-achtet-auf-adam-sandlers-ernaehrung.c5912ef9-ea2a-4c5b-911f-36edd97d2e1e.html,,2023-03-30 06:30:07,https://www.insuedthueringen.de/media.media.7ad7624b-6af3-46a3-9d9a-c14d474fddc0.original.jpg,insuedthueringen,['entertainment']
2,Deutschland: Bilder des Tages,https://www.insuedthueringen.de/inhalt.deutschland-bilder-des-tages.b828eaee-4f1b-4e39-8b8e-e748cadfd8c9.html,,2023-03-30 06:27:23,https://www.insuedthueringen.de/media.media.7e9b7acf-5e4c-4405-ac3c-fea273ffc1a5.original.jpg,insuedthueringen,['entertainment']
3,Campino trifft König Charles – Sänger kassiert Spott und Häme,https://www.watson.de/unterhaltung/prominente/455594424-campino-trifft-koenig-charles-saenger-kassiert-spott-und-haeme,"Campino tauchte beim Staatsbankett von König Charles auf. Bild: dpa / Jens BüttnerCharles und Camilla sind zum ersten Mal als Königspaar nach Deutschland gereist. Der 74-Jährige suchte in Berlin den Kontakt zu den Fans, nahm ein Bad in der Menge und zeigte sich gut gelaunt, bevor abends ein Staatsbankett auf dem Plan stand. Hier trafen die Royals auf einige Promis, darunter den Die-Toten-Hosen-Frotmann Campino.Der Sänger zog im Frack und Fliege prompt die Aufmerksamkeit auf sich, bei der Ankunft auf Schloss Bellevue stiftete er aber auch Verwirrung. In sozialen Medien kommt sein Auftritt mitunter gar nicht gut an.Im Gegensatz zu Charles nahm sich Campino nicht die Zeit für Fan-Kontakt. Mit schnellen Schritten erklomm er die Stufen vor Schloss Bellevue und posierte oben angekommen für die Presse. ""Willkommen Zuhause"", sagte er schließlich mit weit ausgebreiteten Armen. ...(Auf https://www.watson.de lesen)",2023-03-30 06:23:44,,watson,['entertainment']
4,König Charles besucht Ökodorf in Brandenburg – mit besonderer Mission,https://www.watson.de/nachhaltigkeit/nachhaltig%20leben/620750770-koenig-charles-in-deutschland-besuch-in-brandenburg-mit-besonderer-mission,"Von der britischen Boulevardpresse wurde Prinz Charles lange belächelt für sein Engagement für Bio-Landwirtschaft und Klimathemen. Aber davon lässt er sich nicht aufhalten. Bild: Daily Mirror Pool / Ian VoglerDass irgendwann einmal König Charles durch das Ökodorf Brodowin spazieren würde, hätte bis vor Kurzem wohl niemand für möglich gehalten. Aber genauso wird es an diesem Donnerstag kommen: Nach einem Besuch des Brandenburger Tors und einer Begrüßung am Schloss Bellevue wird der britische Monarch einen Abstecher nach Brandenburg machen. Mit einer besonderen Mission. Charles hat sich schon immer für die Natur, Bio-Landwirtschaft und die Klimakrise interessiert. Bild: Getty Images Europe / Anwar HusseinErst im Januar war Post von der britischen Botschaft in Brandenburg eingetrudelt, wo höflich nachgefragt wurde, ob es möglich wäre, den König auf dem größten Demeter-Hof Deutschlands zu empfangen. Der 74 Jahre alte Monarch wolle sich über ökologische Landwirtschaft austauschen und über den Schutz von Feuchtgebieten informieren. Die Antwort kam prompt: Auf jeden Fall! ...(Auf https://www.watson.de lesen)",2023-03-30 06:20:45,,watson,['entertainment']
5,Überraschendes Liebes-Outing: Lana Del Rey soll verlobt sein,https://www.promiflash.de/news/2023/03/30/ueberraschendes-liebes-outing-lana-del-rey-soll-verlobt-sein.html,,2023-03-30 05:30:00,,promiflash,['entertainment']
6,"Motsi Mabuse erlebt ""Schock"" bei Treffen mit König Charles",https://www.watson.de/unterhaltung/royals/501168229-koenig-charles-let-s-dance-jurorin-erlebt-schock-beim-treffen,"Auch Motsi Mabuse war zum Staatsbankett geladen. Bild: IMAGO/Political-MomentsKönig Charles ist zu Gast in Deutschland. Am 29. März entzückte der Royal zahlreiche Fans in Berlin, denn der 74-Jährige gab sich sehr volksnah. Abends stand dann ein Staatsbankett auf dem Programm, hier trafen Charles und die Königsgemahlin Camilla auf zahlreiche Promis – unter anderem Sänger Campino und Motsi Mabuse ließen sich blicken.Charles ist ein großer Fan der britischen Ausgabe von ""Let's Dance"" (""Strictly Come Dancing"") und wünschte sich persönlich ein Treffen mit der Jurorin, dies war schon vorher bekannt. Noch am Abend berichtet Motsi Mabuse, wie die Begegnung verlief.Motsi und ihr Ehemann Evgenij Voznyuk waren gemeinsam eingeladen. Das Paar schildert seine Eindrücke im Interview mit RTL. ""Wir durften nicht zusammensitzen"", erzählt die 41-Jährige als erstes. ""Das war der erste Schock des Abends"", gesteht sie....(Auf https://www.watson.de lesen)",2023-03-30 05:15:57,,watson,['entertainment']
7,"""Let's Dance""-Tanzpaar ""verschollen"": Sharon Battiste gibt Rätsel auf",https://www.watson.de/unterhaltung/prominente/590880687-let-s-dance-tanzpaar-verschollen-erklaerung-gibt-raetsel-auf,"Bislang tanzte Sharon mit Christian Polanc. Für die nächste Show ist ihr Valentin Lusin zugeteilt. Bild: IMAGO/Future ImageIn Show fünf wurden die ""Let's Dance""-Stars von einer Ankündigung kalt erwischt: In der nächsten Ausgabe der Show steht ein Partnertausch an, jedem Promi wird also ein ""neuer"" Profi zur Seite gestellt. Alle Beteiligten müssen sich somit massiv umgewöhnen. Nach Ostern wird dann wieder in den alten Konstellationen getanzt. Bislang lässt RTL offen, ob auch in Show sechs jemand aus dem Format herausgewählt wird.Sharon Battiste trat bislang mit Christian Polanc bei ""Let's Dance"" an, in der nächsten Show wird sie mit Valentin Lusin performen. In den letzten Tagen jedoch war es um das Tanzpaar auffallend ruhig – für gewöhnlich halten die Profis und Promis ihre Fans bei Instagram auf dem Laufenden und teilen Eindrücke von den Proben. Somit entstanden schnell Gerüchte....(Auf https://www.watson.de lesen)",2023-03-30 05:09:12,,watson,['entertainment']
8,ProSieben-Moderatorin wehrt sich gegen Po-Kritik – mit einer Nahaufnahme,https://www.watson.de/unterhaltung/prominente/326417644-prosieben-moderatorin-wehrt-sich-gegen-po-kritik-mit-nahaufnahme,"Nach den Spa Awards 2023 erhielt eine ProSieben-Moderatorin einen Shitstorm. Bild: imago images/Panama Pictures/Christoph HardtBei den Spa Awards 2023 in Kitzbühel waren am Wochenende einige Prominente unterwegs. Darunter auch Elyas M'Barek, der als erster Mann zum ""Beauty Idol"" ernannt wurde, sowie Steffen Hallaschka, Nazan Eckes, Rúrik Gíslason, Palina Rojinski und Motsi Mabuse. Während sich die Verleihung rund um das Thema Schönheit drehte, musste eine der Anwesenden im Internet hämische Kommentare für ihr Äußeres über sich ergehen lassen.Die Rede ist von der ehemaligen ""GNTM""-Finalistin und heutigen ProSieben-Moderatorin Rebecca Mir, die in einem beigen Kleid mit großem Rückenausschnitt den roten Teppich betrat. Ein Award-Look, für den das Model viel Hass einstecken musste – und zu dem sie sich nun ausführlich äußerte....(Auf https://www.watson.de lesen)",2023-03-30 05:07:15,,watson,['entertainment']
9,Nach Wendler-Eklat: Senderchef von RTL Zwei spricht Klartext zur Fehlentscheidung,https://www.watson.de/unterhaltung/prominente/254566716-wendler-eklat-senderchef-von-rtl-zwei-mit-klartext-zu-fehlentscheidung,"Michael Wendler und Laura Müller werden erstmals gemeinsam Eltern. Bild: imago images/RevierfotoVor rund zwei Wochen sorgte die Ankündigung von RTL Zwei, dass sie mit Laura Müller und Michael Wendler eine Doku planen, für einen riesigen Skandal. Unter anderem Carmen Geiss fand deutliche Worte für ihren Heimatsender und meinte: ""Wir distanzieren uns aufs Schärfste von Corona-Leugnern und Menschen, die Deutschland als 'KZ' bezeichnen. Verschwörungsideologische Aussagen sind nicht unser Stil. Selbst wenn es zur Folge haben sollte, dass die Geissens bei RTL Zwei aufhören!""Wenig später ruderte der Sender wieder zurück und erklärte in einer Stellungnahme: ""RTL Zwei hat sich immer von Extremismus aller Art distanziert und steht für Weltoffenheit und Toleranz. Es ist uns wichtig, auch nur den Anschein zu vermeiden, dass der Sender hier zu Abstrichen bereit ist. Deshalb werden wir das Projekt mit Michael Wendler nicht weiterverfolgen."" Nun räumte Senderchef Andreas Bartl weitere Fehler ein....(Auf https://www.watson.de lesen)",2023-03-30 05:05:48,,watson,['entertainment']
