,title,link,content,pubDate,image_url,source_id,category
0,Stiftung Warentest testet Akku-Rasenmäher: Drei sind „mangelhaft“,https://www.inside-digital.de/news/stiftung-warentest-testet-akku-rasenmaeher-drei-sind-mangelhaft,"Akku-Rasenmäher sind im Garten unglaublich praktische Helfer. Kein störendes Stromkabel, keine stinkenden Abgase und eine angenehm leise Arbeitsweise zeichnen die mit Batterie betriebenen Mäher aus. Nachteil: Sie sind abseits von Angeboten bei Lidl und Aldi in der Regel ziemlich teuer. Und manchmal sind sie qualitativ sogar mangelhaft. Das hat ein neuer Test der Stiftung Warentest ( „test“-Ausgabe: 4/2023 ) ergeben. Drei Akku-Rasenmäher fielen mit „mangelhaft“ durch – darunter auch ein Modell von Bosch . Nur vier von zwölf getesteten Modellen erhielten ein „gut“. Im Test mussten Akku-Rasenmäher verschiedener Preisklassen unter Beweis stellen, was sie können. Und natürlich auch, wie sicher sie sind und wie lange der mitgelieferte Akku durchhält. Dabei kam heraus, dass die jüngst getesteten Modelle mit einer Akkuladung Rasenflächen zwischen 200 und 600 Quadratmetern meistern können. Klingt gut, ist aber teilweise weniger als von den Herstellern versprochen. Am längsten hielten der vergleichsweise günstige Metabo RM 36-18 LTX BL 36 (ab 156 Euro) und der Spindelmäher Einhell GE-HM 18/38 Li Solo (ab 120 Euro) durch. Und auch der Bosch Universal Rotak 36-550 (ab 319 Euro) überzeugte unter anderem im Reichweiten-Test. Auch das Schnittergebnis dieses Mähers war durchweg gut. Die Sicherheit stuften die Tester sogar als sehr gut ein. Der Bosch-Mäher versagte aber als einziger Akku-Rasenmäher im Test hinsichtlich der mechanischen Haltbarkeit, weil er im Rütteltest nicht durchhielt. Das sorgte für eine Abwertung und in der Endabrechnung für ein „mangelhaft“. Nicht zu empfehlen sind laut Stiftung Warentest darüber hinaus der Alpina AL1 3820 Li Kit und der Einhell Rasarro 36/38 . Beim Alpina-Mäher fanden die Tester im Griff des Fangkorbs den vermutlich krebserregenden Stoff Naphthalin. Ebenso unerfreulich stuften die Warentester, im Griff des Einhell-Mähers gefundene gesundheitsgefährdende Weichmacher ein. Zusätzlich fiel der Einhell-Mäher durch die Sicherheitsprüfung durch. Simulierte Steinchen rissen Löcher in den Fangkorb. Überzeugen konnte im Test der Stiftung Warentest hingegen als Testsieger mit einem „gut“ der Stihl RMA 443 C. Das Mähergebnis war bei diesem Akku-Rasenmäher am besten. Dieser Mäher war aber auch der teuerste im diesjährigen Test. Aktuell ist er im günstigsten Fall für 425 Euro zu haben. Ebenfalls ein „gut“ stellte die Stiftung Warentest dem Preistipp-Sieger Stiga Combi 340e Kit (ab 329 Euro) und dem Husqvarna LC 137i (ab 399 Euro) aus. Auch der im Akku-Test überzeugende Spindelmäher von Einhell erzielte in der Endabrechnung ein „gut“. Über unsere Links Mit diesen Symbolen kennzeichnen wir Partner-Links. Wenn du so einen Link oder Button anklickst oder darüber einkaufst, erhalten wir eine kleine Vergütung vom jeweiligen Website-Betreiber. Auf den Preis eines Kaufs hat das keine Auswirkung. Du hilfst uns aber, inside digital weiterhin kostenlos anbieten zu können. Vielen Dank!",2023-03-30 11:30:00,,inside-digital,['technology']
1,"Auch AVM, Hue & Sonos betroffen: Diese App stellt den Betrieb ein",https://www.inside-digital.de/news/auch-avm-hue-sonos-betroffen-diese-plattform-stellt-den-betrieb-ein,"Die Nachricht kam für die Nutzer der Smart-Home-Plattform Home Connect Plus aus heiterem Himmel. Am 30. Juni 2023 werde die Plattform ihren Dienst einstellen, teilte man den Nutzern per E-Mail mit. Dabei war die App mit großen Ambitionen und einem guten Konzept an den Start gegangen. Man wollte Schluss machen mit zig unterschiedlichen Apps, die mitunter zur Bedienung aller smarten Geräte zu Hause notwendig sind. Das Ziel sollte sein, eine Verknüpfung zwischen verschiedenen Herstellern in einer App zu erzielen und so ein smartes Zuhause zu ermöglichen, bei dem die Geräte miteinander kommunizieren können. Das ganze erfolgte über die App und die Cloud-Server von Home Connect Plus. Insbesondere Einsteiger, die sich nicht mit oftmals komplizierten Raspberry PI-Lösungen abmühen wollten, hatte man im Visier. Doch nun das Aus. Ab 1. Juni werde man eine App zur Verfügung stellen, mit der Nutzer sich alle Daten herunterladen können, die sie bereitgestellt oder erstellt haben. Das könnten neben den persönlichen Daten auch eine Liste an Räumen, Automatisierungen und kostenlosen Services sein. Was man mit den Daten dann machen soll, bleibt unklar. Denn vom Anbieter selbst heißt es: „Wir möchten jedoch darauf hinweisen, dass Home Connect Plus Automationen spezifisch für die Home Connect Plus App sind und nicht von einer anderen Smart Home App verwendet werden können.“ Auch eine Empfehlung zu einer Alternative gibt es nicht. Ein vergleichbarer Dienst, Conrad Connect, hatte bereits vor geraumer Zeit die Segel gestrichen. Die einzig halbwegs ähnliche Lösung ist das Smart-Home-System der Telekom , das seit geraumer Zeit ebenfalls auf eine App zur Vernetzung setzt. Allerdings werden hier viele Komponenten nicht unterstützt. Home Connect Plus hatte zahlreiche Firmen von seinem System überzeugt. Seit der Einführung vor etwas weniger als zwei Jahren konntest du Sonos und AVM genauso miteinander verknüpfen wie Homematic IP , Hue, Somfy, Gardena und Ledvance. Und natürlich waren auch die Haushaltsgeräte von Bosch und Siemens dabei, aus deren Umfeld Home Connect Plus stammt. Die eigene Home Connect-App wird weitergeführt, teilte man mit. Zu den Gründen der Einstellung heißt es nur, man habe angesichts „der schwierigen wirtschaftlichen Marktlage“ beschlossen, „die Investition in Home Connect Plus nicht fortzusetzen“. Möglich, dass auch die Einführung von Matter eine Rolle bei den Überlegungen spielt. Denn der neue Matter-Standard soll es ermöglichen, verschiedenste Geräte offline miteinander zu vernetzen und so ein smartes Zuhause zu gestalten. Doch aktuell gestaltet sich die Einführung schwieriger als erwartet. Gerade erst hat Hue sein Matter-Update verschoben.",2023-03-30 11:30:00,,inside-digital,['technology']
2,Spotify: Neue Funktion verärgert unzählige Kunden,https://www.inside-digital.de/news/spotify-neue-funktion-veraergert-unzaehlige-kunden,"Die Kurzvideo-App TikTok ist unglaublich erfolgreich. So ist es kein Wunder, dass auch andere Plattformen wie Instagram oder YouTube verstärkt auf Kurzvideos im Hochformat setzen. Die Macher von Spotify haben diesen Trend wohl auch verfolgt und gedacht „Warum sollen wir Nutzern unserer Musik-App noch Playlist und Alben auf der Startseite anzeigen, wenn wir dort auch Kurzvideos präsentieren können?“. Unzählige Nutzer sehen dies jedoch anders und es hagelt Kritik. Bisher war die Startseite von Spotify recht funktional aufgebaut: Sechs häufig gehörte Playlists ganz oben und dann mehrere Elemente in wechselnder Reihenfolge. Etwa mit personalisierten Neuerscheinungen, Playlists zur Stimmung oder Tageszeit, Events in der Nähe oder zuletzt gehörte Playlists. Bis auf die sechs Playlists ganz oben ist dies nun alles weg. Stattdessen sieht man jetzt große Videos, sogenannte Canvas, die man vom Abspielen von Songs kennt. Diese bewerben Playlists oder Podcasts, die zum eigenen Geschmack passen sollen. Damit stehen nicht nur deutlich weniger Inhalte zur Verfügung, sondern diese werden auch noch katastrophal präsentiert. Denn selbst auf dem größten Smartphone sieht man nur ein einziges „Canvas“ und muss jedes Video einzeln durchwischen, da die App bei jedem Canvas anhält. Normales Scrollen wie in jeder anderen App oder Website ist nicht mehr möglich. Während das alte Design dazu eingeladen hat, Neuerscheinungen oder bisher unbekannte Playlists zu entdecken und dem Nutzer eine Vielzahl von Inhalten auf einer Seite anbot, wischt man sich bei dem neuen Design durch eine unendliche Liste von Playlists zu Tode. Andere Nutzer sehen dies ähnlich. So hagelt es im Google Play Store und Apple App Store unzählige Reviews mit 1 oder 2 Sternen, in denen Nutzer das neue Design kritisieren. Bisher ist das neue Spotify-Design noch nicht bei vielen Nutzern angekommen. Bei einer kurzen Stichprobe im Büro bin ich bisher der Einzige, der bereits auf das neue Design umgestellt wurde. Selbst abschalten kann man es leider nicht. Bleibt also zu hoffen, dass Spotify sich die Kritik der Nutzer zu Herzen nimmt und die Verteilung stoppt. Persönlich nutze ich Spotify bereits seit 2012 in der Premium-Version und habe seit dem eine vierstellige Summe für Abo-Gebühren für den Dienst ausgegeben. Durch die breite Integration mit Spotify Connect, den exzellenten Musik-Empfehlungen und der Tatsache, dass es sich um ein europäisches Unternehmen handelt, konnte Spotify immer bei mir punkten. Doch im Gegensatz zu Filmen bei Netflix , Disney und Co. ist Musik nicht exklusiv. So kannst du dieselbe Musik auch bei Deezer, Apple Music oder einem der unzähligen anderen Anbieter hören. → die besten Spotify-Alternativen",2023-03-30 10:00:00,,inside-digital,['technology']
3,iPhone 15: Insider erklärt Apples spannendste Veränderung,https://www.inside-digital.de/news/iphone-15-insider-erklaert-apples-spannendste-veraenderung,"Vor einigen Wochen zeigten sich die ersten Renderbilder vom iPhone 15 und 15 Pro . Basierend auf CAD-Zeichnungen, die Hüllenhersteller für ihre Produkte nutzen, gaben sie erste Hinweise auf wichtige Änderungen. Seit dem ersten Modell besitzt Apples Smartphone nicht nur Seitentasten, die ganz normal klicken, wie man es gewohnt ist. Auch ein kleiner Schalter zum Stummschalten ist seit jeher vorhanden. Nun meldete sich Leaker „anonymous-A.S“ im MacRumors-Forum mit weiteren Details zu Wort. Diese beschreiben, wie die neuen Tasten funktionieren. Derselbe Nutzer hatte bereits im vergangenen Jahr Details zur Dynamic Island vorhergesagt. Zur Erinnerung: Beim iPhone 15 Pro will Apple angeblich auf traditionelle Buttons verzichten. Stattdessen sollen „Solid-State-Tasten“ zum Einsatz kommen. Diese sind nicht beweglich, erkennen aber weiterhin den Druck durch deinen Finger. Eine ähnliche Technik setzt Apple bereits im MacBook ein. Dort ist das Trackpad nicht beweglich, lediglich Apples sogenannte Taptic Engine sorgt für eine Vibration im Inneren des Geräts. Es fühlt sich damit so an, als würde es sich bewegen. Die Home-Taste seit dem iPhone 7 basiert auf derselben Idee. Beim iPhone 15 Pro soll diese Technik nun ebenfalls für alle Tasten zum Einsatz kommen. Es gab jedoch Befürchtungen, dass nach dem Abschalten des Geräts – etwa wenn der Akku leer ist – keine Tastenbewegungen mehr erkannt werden. Apple hat hier offenbar eine Lösung gefunden. Schon heute funktionieren diverse Komponenten von Apples Smartphone auch dann, wenn das Gerät ausgeschaltet ist. Dazu gehören beispielsweise Bluetooth – und Ultra-Wideband-Features für das „ Wo ist? “-Netzwerk oder Apple Pay Express für Fahrten mit Bus oder Bahn. Diese Funktionen sollen im iPhone 15 Pro von einem neuen Chip übernommen werden. Überdies ist er für die neuen Tasten verantwortlich. Er erkennt auch dann einen Druck auf die Schalter, wenn der Akku leer oder das iPhone 15 Pro ausgeschaltet ist. Unklar ist derzeit noch, ob im ausgeschalteten Zustand eine Vibration durch die Taptic Engine stattfindet. Des Weiteren soll er zwischen einem Tastendruck und dem Halten einer Taste unterscheiden können. Sogar eine Variante von 3D Touch soll unterstützt werden. Es ist also beispielsweise möglich, dass ein leichtes Tippen die Lautstärke nur geringfügig erhöht, während ein starker Druck für große Sprünge sorgt. Apple testet aber derzeit mehrere Varianten der neuen Lautstärkensteuerung. Neben einfachen Tastendrücken für lauter und leiser wird auch das Bewegen eines Fingers über die Taste zur Steuerung ausprobiert. Es sei derzeit unklar, welche Variante Apple am Ende wählt. Über die Software kann dies jedoch gesteuert werden, sodass Apple es jederzeit anpassen kann. Ein weiteres Feature seit der ersten Stunde ist, wie oben angesprochen, der kleine Hebel zum Stummschalten. Wie der Leaker in dem Forum schreibt, wird dieser Schalter dem iPhone 15 Pro in der Tat fehlen . Eine neue kleine Taste soll den Platz über der Lautstärkensteuerung einnehmen. Intern bezeichnet Apple diese als Action Button; derselbe Name wie bei der Apple Watch Ultra . Die Seitentaste der Ultra-Version der Apple Watch kannst du selbst mit diversen Funktionen versehen. So kannst du etwa die Taschenlampe durch einen Druck ein- und ausschalten oder einen Workout starten. Aber auch einen eigenen Kurzbefehl kannst du hier hinterlegen. Die Möglichkeiten beim iPhone könnten deutlich ausgiebiger sein. Neben dem Stummschalten ist es denkbar, dass du auch einen Fokus-Mode durch Betätigen der Taste aktivierst. Eine Vorlage der Möglichkeiten ist vielleicht die Bedienungshilfe „ Auf Rückseite tippen “. Diese findest du schon seit langer Zeit in den Einstellungen > Bedienungshilfen > Tippen. Welche Optionen Apple anbieten wird, ist derzeit unbekannt.",2023-03-30 10:00:00,,inside-digital,['technology']
4,Einigung auf ehrgeizigere Ziele: EU will mehr erneuerbare Energien,https://taz.de/Einigung-auf-ehrgeizigere-Ziele/!5925167/,,2023-03-30 07:04:00,https://taz.de/picture/6181627/948/32497536-1.jpeg,taz,"['environment', 'science']"
5,Streit um Lohn im öffentlichen Dienst: Tarifverhandlungen gescheitert,https://taz.de/Streit-um-Lohn-im-oeffentlichen-Dienst/!5925165/,,2023-03-30 06:33:00,https://taz.de/picture/6181590/948/Streik-1.jpeg,taz,"['environment', 'science']"
6,Projekt vor der Küste Rügens: LNG-Terminal vorerst gestoppt,https://taz.de/Projekt-vor-der-Kueste-Ruegens/!5925065/,,2023-03-30 06:25:00,https://taz.de/picture/6180878/948/32498927-1.jpeg,taz,"['environment', 'science']"
7,Aldi: Neue Computer-Schnäppchen gestartet,https://www.inside-digital.de/deals/aldi-neue-computer-schnaeppchen-gestartet,"Die vielleicht wichtigste Botschaft vorweg: Es handelt sich um einen recht großen Laptop. Denn der Medion S17403 (MD64120) ist mit einem 17,3 Zoll (ca. 44 cm) großen Bildschirm mit Full-HD- Auflösung ausgestattet. Außerdem an Bord: 1 TB SSD-Speicher und der Intel Core i5-10210U als zentrale Recheneinheit. Der Prozessor verfügt über vier Kerne, die Basisaufgaben mit bis zu 1,6 GHz erledigen und sich vorübergehend auf bis zu 4,2 GHz beschleunigen lassen. Für den Alltag ebenfalls ausreichend: 8 GB DDR4-Arbeitsspeicher. Nur wenn du regelmäßig mit deinem Notebook die neuesten Spiele zocken möchtest, solltest du dich für einen Rechner entscheiden, der mehr Rechenleistung zu bieten hat. Auch regelmäßige Bild- und Video-Bearbeitung macht mit mehr Arbeitsspeicher und einem leistungsfähigeren Prozessor mehr Spaß. Für das tägliche Internetsurfen und klassische Schul-, Uni- oder Bürotätigkeiten reichen die von Medion gewählten Hardware-Bauteile des S17403 aber vollkommen aus. Auf Basis von Windows 11 Home ist der tragbare Aldi-Computer zudem mit Intels UHD-Graphics, einer Tastatur mit Hintergrundbeleuchtung und zusätzlichem Nummernpad sowie einer Akkulaufzeit von bis zu 5,5 Stunden ausgestattet. Internetverbindungen sind auf Basis von Wi-Fi 6 möglich, auch eine Bluetooth -Schnittstelle ist verbaut. Ebenso zwei Lautsprecher und eine HD-Webcam. Sie ist aber an der Unterseite des Bildschirms integriert, was für etwa gewöhnungsbedürftige Perspektiven sorgen kann. Die Anschlussmöglichkeiten: Zu einem USB -C-Anschluss mit Display-Port-Funktion gesellen sich bei diesem Notebook drei USB-A-Anschlüsse (2 x 3,1 / 1 x 2.0) und ein HDMI-out-Port. Ein LAN-Anschluss für Internetverbindungen über ein Netzwerkkabel fehlt allerdings. Dafür kannst du auf einen Kartenleser für SD-, SDHC und SDXC-Speicherkarten vertrauen. Versehen mit drei Jahren Garantie ist dieser rund 2,3 Kilogramm schwere Laptop bei Aldi im Onlineshop ab sofort zu einem Preis von 599 Euro erhältlich . Hinzu kommen einmalig 4,95 Euro für den Versand. Zum Vergleich: Bei MediaMarkt kostet der fast baugleiche Rechner derzeit 60 E u ro mehr . Und auch sonst werden für vergleichbare Rechner in der Regel mindestens 650 Euro fällig. Soll es ein noch etwas preiswerteres Notebook sein? Dann steht ab sofort das Medion Akoya E16402 (MD64060) für dich bereit. Der Full-HD-Bildschirm ist hier 16,1 Zoll groß, als Prozessor kommt der Intel Core i3-1115G4 zum Einsatz (zwei Kerne, bis zu 4,1 GHz), flankiert von 8 GB RAM und 512 GB SSD-Speicher. Die Akkulaufzeit soll laut Herstellerangaben auf Basis von Windows 10 Home bei bis zu acht Stunden liegen. Der Preis: 479 Euro . Ferner stehen im Aldi-Onlineshop ab sofort noch zwei PCs von Medion zur Verfügung – Grafikkarte von Nvidia inklusive. Damit ist auch gleich verraten, dass diese beiden Rechner in erster Linie Gamer absprechen sollen. Aber auch für das Homeoffice können beide PCs eine sinnvolle Anschaffung sein. Der Medion Erazer Recon E10 bietet auf Basis von Windows 11 für 799 Euro unter anderem 1 TB SSD-Speicher, 16 GB DDR4 Arbeitsspeicher, Wi-Fi 6 und einen LAN-Anschluss. Hinzu kommen der Intel Core i5-12400 Prozessor (6 Kerne, maximal 4,4 GHz) und als Grafikkarte die Nvidia GeForce GTX 1660 Super mit 6 GB VRAM. Ungleich teurer: der Medion Erazer Hunter X20 (MD34235) für 2.699 Euro . Bei diesem Rechner auf Basis von Windows 11 handelt es sich aber auch um ein Modell der Oberklasse. Du kannst nicht nur den Intel Core i7-13700K mit 16 (!) Kernen nutzen (max. 5,3 GHz), sondern auch 1 TB SSD-Speicher und 32 GB DDR5-Speicher. Als Grafikkarte kommt die Zotac Nvidia GeForce RTX 4070 Ti mit 12 GB VRAM zum Einsatz. Über unsere Links Mit diesen Symbolen kennzeichnen wir Partner-Links. Wenn du so einen Link oder Button anklickst oder darüber einkaufst, erhalten wir eine kleine Vergütung vom jeweiligen Website-Betreiber. Auf den Preis eines Kaufs hat das keine Auswirkung. Du hilfst uns aber, inside digital weiterhin kostenlos anbieten zu können. Vielen Dank!",2023-03-30 05:52:12,,inside-digital,['technology']
8,Dürre in Spanien: Europas Gemüsegarten vertrocknet,https://www.agrarheute.com/land-leben/duerre-spanien-europas-gemuesegarten-vertrocknet-605167,,2023-03-30 05:00:00,,agrarheute,['technology']
9,Kükentöten: Diese sieben Fakten sollten Sie kennen,https://www.agrarheute.com/tier/kuekentoeten-diese-sieben-fakten-sollten-kennen-605175,,2023-03-30 05:00:00,,agrarheute,['technology']
